Title,Summary,Topic,Source,ReadTime
Indonesian rescuers find a body near wreckage of a plane that crashed with 11 aboard,"Indonesian rescuers on Sunday recovered a body in their search for 11 people aboard a plane that crashed while approaching a mountainous region on Sulawesi island. The body of a man was retrieved from a ravine about 200 meters (656 feet) deep on the slope of Mount Bulusaraung, near scattered aircraft debris, said Muhammad Arif Anwar, who heads Makassar’s Search and Rescue Office. The plane, operated by Indonesia Air Transport, was on its way from Yogyakarta on Indonesia's main island of Java t",World,Associated Press,2 min read
Noem confirms ICE officer’s conduct under review after Renee Good shooting,"Homeland Security Secretary Kristi Noem confirmed Sunday that the agency is conducting an internal review of the actions taken by the Immigration and Customs Enforcement (ICE) officer who fatally shot 37-year-old Renee Good, saying he was placed on a three-day administrative leave after the incident, as protocol dictates. “We are following the exact same investigative…",US,The Hill,2 min read
Why does White House think you are an idiot?: Kerr,"The Trump administration, figuratively speaking, is handing you a rotting fish and telling you it’s a golden goose.",Opinion,Portsmouth Herald,5 min read
Here's where Trump's most jaw-dropping promises stand a year into his second term,"From toppling Venezuela's leader to ordering mass deportations, from turning once independent government entities into rubber stamps to demolishing the East Wing for a White House ballroom, President Donald Trump spent his first year back in office trampling political norms and testing institutional checks and balances. “I’ve kept all my promises and much more,” Trump insisted during a speech this week in Detroit. U.S. defense officials in May accepted a luxury Boeing 747 jet from Qatar for Tr",Politics,Associated Press,10 min read
Kyrsten Sinema panel interrupted by men who say they’re having an affair with her amid fresh lawsuit,Blockbuster allegations claim former Arizona senator broke up a marriage after alleged affair with bodyguard,US,The Independent,3 min read
